Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
06/15/2013,0.150,-90.625,22.1161,0.0000,0.0000,0
06/16/2013,0.150,-90.625,22.0519,0.0000,0.0000,0
06/17/2013,0.150,-90.625,22.4690,0.0000,0.0000,0
06/18/2013,0.150,-90.625,22.8297,0.0000,0.0000,0
06/19/2013,0.150,-90.625,22.6262,0.0000,0.0000,0
06/20/2013,0.150,-90.625,22.5140,0.0000,0.0000,0
06/21/2013,0.150,-90.625,21.1997,0.0000,0.0000,0
06/22/2013,0.150,-90.625,20.9626,0.0000,0.0000,0
06/23/2013,0.150,-90.625,21.0596,0.0000,0.0000,0
06/24/2013,0.150,-90.625,21.0963,0.0000,0.0000,0
06/25/2013,0.150,-90.625,20.2261,0.0000,0.0000,0
06/26/2013,0.150,-90.625,21.3871,0.0000,0.0000,0
06/27/2013,0.150,-90.625,21.8434,0.0000,0.0000,0
06/28/2013,0.150,-90.625,22.2629,0.0000,0.0000,0
06/29/2013,0.150,-90.625,20.8296,0.0000,0.0000,0
06/30/2013,0.150,-90.625,20.9739,0.0000,0.0000,0
07/01/2013,0.150,-90.625,20.9708,0.0000,0.0000,0
07/02/2013,0.150,-90.625,21.3156,0.0000,0.0000,0
07/03/2013,0.150,-90.625,21.8306,0.0000,0.0000,0
07/04/2013,0.150,-90.625,22.9252,0.0000,0.0000,0
07/05/2013,0.150,-90.625,22.1677,0.0000,0.0000,0
07/06/2013,0.150,-90.625,22.9342,0.0000,0.0000,0
07/07/2013,0.150,-90.625,23.4625,0.0000,0.0000,0
07/08/2013,0.150,-90.625,23.1265,0.0000,0.0000,0
07/09/2013,0.150,-90.625,23.2638,0.0000,0.0000,0
07/10/2013,0.150,-90.625,23.3331,0.0000,0.0000,0
07/11/2013,0.150,-90.625,22.8211,0.0000,0.0000,0
07/12/2013,0.150,-90.625,22.4802,0.0000,0.0000,0
07/13/2013,0.150,-90.625,22.4945,0.0000,0.0000,0
07/14/2013,0.150,-90.625,22.0046,0.0000,0.0000,0
07/15/2013,0.150,-90.625,22.2878,0.0000,0.0000,0
07/16/2013,0.150,-90.625,22.1068,0.0000,0.0000,0
07/17/2013,0.150,-90.625,22.4493,0.0000,0.0000,0
07/18/2013,0.150,-90.625,22.4674,0.0000,0.0000,0
07/19/2013,0.150,-90.625,21.7995,0.0000,0.0000,0
07/20/2013,0.150,-90.625,21.2311,0.0000,0.0000,0
07/21/2013,0.150,-90.625,21.5279,0.0000,0.0000,0
07/22/2013,0.150,-90.625,21.4007,0.0000,0.0000,0
07/23/2013,0.150,-90.625,22.0276,0.0000,0.0000,0
07/24/2013,0.150,-90.625,21.9989,0.0000,0.0000,0
07/25/2013,0.150,-90.625,21.5668,0.0000,0.0000,0
07/26/2013,0.150,-90.625,21.9983,0.0000,0.0000,0
07/27/2013,0.150,-90.625,21.9454,0.0000,0.0000,0
07/28/2013,0.150,-90.625,22.5927,0.0000,0.0000,0
07/29/2013,0.150,-90.625,22.4422,0.0000,0.0000,0
07/30/2013,0.150,-90.625,21.5626,0.0000,0.0000,0
07/31/2013,0.150,-90.625,21.4029,0.0000,0.0000,0
08/01/2013,0.150,-90.625,22.0018,0.0000,0.0000,0
08/02/2013,0.150,-90.625,21.2810,0.0000,0.0000,0
08/03/2013,0.150,-90.625,21.7780,0.0000,0.0000,0
08/04/2013,0.150,-90.625,21.8113,0.0000,0.0000,0
08/05/2013,0.150,-90.625,23.0638,0.0000,0.0000,0
08/06/2013,0.150,-90.625,23.0295,0.0000,0.0000,0
08/07/2013,0.150,-90.625,23.2794,0.0000,0.0000,0
