time,latitude,longitude,depth,mag,magType,rms,id,updated,place,depthError,magNst,locationSource,magSource
2017-12-31T21:06:00.410Z,-27.5647,-69.5867,111.3,4.2,mb,0.8,us1000bym9,2018-03-17T01:54:41.040Z,"76km ESE of Copiapo, Chile",7.9,10,us,us
2017-12-31T10:21:57.560Z,-31.9919,-71.8362,14.19,4.4,mb,1.18,us1000byh2,2018-03-17T01:54:40.040Z,"75km WSW of Illapel, Chile",6.3,7,us,us
2017-12-30T12:54:34.780Z,-27.9535,-71.554,30.87,4.2,mwr,0.98,us1000by5b,2018-03-17T01:54:39.040Z,"103km NW of Vallenar, Chile",4.7,76,us,us
2017-12-29T22:13:50.580Z,-30.4472,-72.213,10,4.1,mwr,0.98,us2000ciyb,2018-03-17T01:54:38.040Z,"98km W of Ovalle, Chile",1.9,59,us,us
2017-12-29T10:30:35.790Z,-35.2659,-71.3569,111.86,4.4,mb,0.68,us1000bxlk,2018-03-17T01:54:38.040Z,"17km SSW of Molina, Chile",4.9,4,us,us
2017-12-28T12:43:28.190Z,-38.1707,-75.2245,17.74,4.7,mb,0.8,us1000bx5a,2018-03-17T01:54:37.040Z,"151km WSW of Lebu, Chile",5.2,27,us,us
2017-12-26T19:09:59.850Z,-38.7251,-70.531,190.25,4.2,mb,0.9,us2000ci7b,2018-03-17T01:54:35.040Z,"26km SSW of Las Lajas, Argentina",6.4,24,us,us
2017-12-26T18:21:22.510Z,-31.3805,-69.4762,124,4.2,mb,1.07,us1000bwf9,2018-03-17T01:54:35.040Z,"8km SW of Calingasta, Argentina",6.5,12,us,us
2017-12-26T13:05:26.650Z,-32.8218,-70.1858,107.34,4.4,mb,0.53,us1000bwck,2018-03-17T01:54:35.040Z,"38km E of Los Andes, Chile",6.3,12,us,us
2017-12-24T14:09:48.010Z,-34.8786,-69.4857,5.73,4.3,mb,1.18,us1000bvmr,2018-03-17T01:54:33.040Z,"65km N of Malargue, Argentina",6.8,8,us,us
2017-12-24T12:04:25.390Z,-29.9971,-68.1149,53.88,4.5,mb,1.27,us1000bvm1,2018-03-17T01:54:33.040Z,"66km ENE of San Jose de Jachal, Argentina",8.8,9,us,us
2017-12-24T10:43:55.340Z,-27.3216,-63.4181,574.25,4.3,mb,0.71,us1000bvl0,2018-03-17T01:54:33.040Z,"37km SSW of El Hoyo, Argentina",7.4,14,us,us
2017-12-23T09:20:03.870Z,-27.9561,-71.0485,57.82,4.4,mb,1.01,us1000bvad,2018-03-14T00:58:27.040Z,"73km NNW of Vallenar, Chile",7.6,6,us,us
2017-12-22T08:44:36.080Z,-33.3531,-68.9477,27.73,4.3,mwr,1.06,us1000buxs,2018-03-14T00:58:26.040Z,"52km SSW of Mendoza, Argentina",5,60,us,us
2017-12-21T14:20:59.750Z,-33.883,-72.4977,10,4.5,mwr,1.04,us1000buex,2018-03-14T00:58:25.040Z,"87km WSW of San Antonio, Chile",1.9,55,us,us
2017-12-20T06:08:18.090Z,-32.5114,-71.8001,24.85,4.4,mb,0.94,us1000btj6,2018-03-14T00:58:24.040Z,"53km W of La Ligua, Chile",9.2,6,us,us
2017-12-19T13:12:56.880Z,-35.863,-71.4743,101.84,4.2,mb,0.6,us1000bt1l,2018-03-14T00:58:22.040Z,"11km E of Linares, Chile",10.3,2,us,us
2017-12-17T18:22:38.630Z,-28.4827,-69.7977,138.81,4.3,mb,1.07,us2000c5fh,2018-03-14T00:58:21.040Z,"94km E of Vallenar, Chile",5.7,7,us,us
2017-12-16T11:16:50.050Z,-30.6549,-71.7144,35.84,4.2,mb,0.53,us2000c57m,2018-03-06T00:49:44.040Z,"49km W of Ovalle, Chile",7.3,9,us,us
2017-12-13T02:15:20.520Z,-35.1875,-72.7696,19.51,4.5,mb,0.52,us2000c3q1,2018-03-06T00:49:38.040Z,"35km WNW of Constitucion, Chile",3.8,9,us,us
2017-12-12T07:42:22.150Z,-31.6568,-70.2987,125.93,4.3,mb,0.78,us2000c39a,2018-03-06T00:49:37.040Z,"65km ENE of Salamanca, Chile",8.1,6,us,us
2017-12-10T02:09:30.380Z,-36.0313,-73.0099,30.55,4.5,mwr,0.85,us2000c2i0,2018-03-06T00:49:34.040Z,"62km W of Cauquenes, Chile",4.1,55,us,us
2017-12-08T13:50:22.500Z,-29.877,-72.0665,27.02,4.4,mb,0.75,us2000c20x,2018-02-28T02:32:33.040Z,"70km W of Coquimbo, Chile",7.2,5,us,us
2017-12-08T09:28:44.700Z,-40.3416,-72.6446,78.28,4.1,mb,1.2,us2000c1zj,2018-02-28T02:32:33.040Z,"27km E of Rio Bueno, Chile",7.1,8,us,us
2017-12-08T06:07:46.990Z,-29.8747,-72.0471,22.02,4.3,mb,0.93,us2000c1yt,2018-02-28T02:32:33.040Z,"68km W of Coquimbo, Chile",7.1,4,us,us
2017-12-07T11:40:26.550Z,-32.3032,-71.5442,10,4,mb,1.38,us2000c1jx,2018-02-28T02:32:31.040Z,"33km WNW of La Ligua, Chile",2,2,us,us
2017-12-07T10:06:43.310Z,-33.5105,-72.2039,10.61,4.1,mb,0.86,us2000c1ie,2018-02-28T02:32:30.040Z,"54km W of San Antonio, Chile",9.4,3,us,us
2017-12-06T20:46:30.890Z,-32.1688,-71.4521,53.97,4.6,mwr,0.73,us2000c1b1,2018-02-28T02:32:30.040Z,"37km NNW of La Ligua, Chile",5.5,49,us,us
2017-12-06T18:22:24.950Z,-37.5145,-74.1982,10,4.2,mb,0.68,us1000bmup,2018-02-28T02:32:29.040Z,"49km WNW of Lebu, Chile",2,6,us,us
2017-12-06T12:29:02.940Z,-32.127,-71.8386,22.05,4.3,mb,0.81,us1000bmq3,2018-02-28T02:32:29.040Z,"67km WNW of La Ligua, Chile",5.7,6,us,us
2017-12-06T08:30:41.470Z,-37.5346,-74.0608,10,4.4,mb,0.64,us1000bmpa,2018-02-28T02:32:29.040Z,"37km WNW of Lebu, Chile",1.9,15,us,us
2017-12-06T06:33:26.450Z,-32.0102,-71.7933,36.23,4.3,mb,0.56,us1000bmnk,2018-02-28T02:32:29.040Z,"72km NW of La Ligua, Chile",15.6,3,us,us
2017-12-05T17:00:35.950Z,-33.1961,-72.218,15.27,4.5,mwr,0.84,us1000bmfy,2018-02-28T02:32:27.040Z,"57km WSW of Valparaiso, Chile",4.2,65,us,us
2017-12-05T12:47:14.330Z,-40.198,-74.8536,25.13,4.5,mb,0.83,us2000c3gz,2018-02-28T02:32:26.040Z,"126km WSW of Corral, Chile",6.2,6,us,us
2017-12-03T21:47:03.380Z,-32.3053,-71.8144,26.38,4.3,mb,0.88,us1000bkmz,2018-02-28T02:32:24.040Z,"57km WNW of La Ligua, Chile",7.4,3,us,us
2017-12-03T14:21:41.160Z,-32.2957,-71.9625,10.38,4.4,mb,0.79,us1000bkk1,2018-02-28T02:32:24.040Z,"70km WNW of La Ligua, Chile",5.2,8,us,us
2017-12-02T09:30:22.440Z,-28.4089,-70.2727,121.5,4.2,mb,0.94,us1000bk95,2018-02-20T09:06:12.040Z,"50km ENE of Vallenar, Chile",7.2,2,us,us
2017-12-01T23:26:52.160Z,-34.7894,-73.7539,23.25,4,mwr,0.75,us1000bk5w,2018-02-20T09:06:11.040Z,"136km WNW of Constitucion, Chile",4.6,18,us,us
2017-12-01T20:02:18.550Z,-44.4229,-81.9449,10,4.6,mb,0.93,us1000bk1x,2018-02-20T09:06:11.040Z,West Chile Rise,1.9,59,us,us
2017-12-01T13:37:34.190Z,-32.5292,-67.484,154.86,4.5,mb,1.19,us1000bjva,2018-02-20T09:06:10.040Z,"110km ENE of San Martin, Argentina",11.1,11,us,us
2017-12-01T05:46:01.260Z,-32.6902,-71.8368,21.6,4.2,mb,0.8,us1000bjra,2018-02-20T09:06:10.040Z,"43km NNW of Valparaiso, Chile",7.4,6,us,us
2017-11-29T16:35:04.130Z,-32.2587,-68.6248,116.67,4.8,mwr,0.79,us2000bvwh,2018-02-20T09:06:07.040Z,"63km S of Pocito, Argentina",3.6,62,us,us
2017-11-29T10:02:53.370Z,-33.5162,-69.9037,120.06,4.6,mwr,0.86,us2000bvtq,2018-02-20T09:06:06.040Z,"63km E of Villa Presidente Frei, Nunoa, Santiago, Chile, Chile",5.1,,us,guc
2017-11-26T22:15:13.520Z,-32.2349,-70.9926,71.75,4.8,mwr,0.69,us2000bumt,2018-02-20T09:06:03.040Z,"32km NE of La Ligua, Chile",5.6,35,us,us
2017-11-26T08:47:39.480Z,-32.6362,-71.6381,30.26,4.2,mb,0.85,us2000bugk,2018-02-20T09:06:03.040Z,"42km WNW of Hacienda La Calera, Chile",5.8,10,us,us
2017-11-25T23:34:24.140Z,-27.9496,-66.696,162.46,4.1,mb,0.75,us2000bue9,2018-02-14T02:01:15.040Z,"46km SE of Belen, Argentina",11.4,9,us,us
2017-11-25T18:36:53.140Z,-36.1894,-73.6078,10.82,4.3,mwr,0.73,us2000buce,2018-02-14T02:01:15.040Z,"73km NW of Talcahuano, Chile",4.9,31,us,us
2017-11-20T17:05:28.670Z,-30.2825,-71.6078,36.23,4.1,mb,1.32,us2000brvl,2018-02-14T02:01:07.040Z,"44km SW of Coquimbo, Chile",15.1,2,us,us
2017-11-18T00:52:41.870Z,-29.557,-72.3123,24.53,4.2,mwr,1.11,us2000bqu0,2018-02-06T02:45:41.040Z,"103km WNW of Coquimbo, Chile",6.4,15,us,us
2017-11-15T02:25:58.530Z,-27.6649,-71.6085,8.07,4.1,mb,1.15,us2000bnnp,2018-02-06T02:45:34.040Z,"130km WSW of Copiapo, Chile",6.4,5,us,us
2017-11-12T03:34:18.100Z,-44.8982,-81.6179,10,4.9,mb,0.68,us2000bm7r,2018-02-06T02:45:29.040Z,West Chile Rise,1.9,54,us,us
2017-11-12T01:31:31.390Z,-33.1557,-69.6183,10,4.2,mwr,1.36,us2000bm7f,2018-02-06T02:45:29.040Z,"79km WSW of Mendoza, Argentina",1.9,69,us,us
2017-11-11T00:40:14.230Z,-38.2366,-73.9171,11.86,4.4,ml,0.67,us2000blun,2018-01-31T03:04:47.040Z,"66km SW of Canete, Chile",3.6,,us,guc
2017-11-09T07:36:58.440Z,-30.7004,-71.42,45.19,4.9,mwr,0.77,us2000bkrs,2018-01-31T03:04:44.040Z,"23km WSW of Ovalle, Chile",4.8,64,us,us
2017-11-09T05:46:06.670Z,-28.2535,-71.5021,38.9,4.2,mb,0.96,us2000bkr7,2018-01-31T03:04:44.040Z,"80km WNW of Vallenar, Chile",4.1,12,us,us
2017-11-08T19:34:15.500Z,-33.2316,-70.4629,104.59,4,ml,0.89,us2000bkgu,2018-01-31T03:04:43.040Z,"27km NNE of Villa Presidente Frei, Nunoa, Santiago, Chile, Chile",5.9,,us,guc
2017-11-08T06:04:08.210Z,-31.4638,-69.4474,120.73,4,mb,0.96,us2000bk90,2018-01-31T03:04:42.040Z,"15km SSW of Calingasta, Argentina",9.9,6,us,us
2017-11-07T22:04:36.120Z,-27.8649,-69.3609,109.82,4.1,mb,0.7,us2000bq90,2018-01-31T03:04:42.040Z,"110km ESE of Copiapo, Chile",9.6,5,us,us
2017-11-07T12:17:39.740Z,-29.4435,-71.3771,36.92,4.5,mb,0.79,us2000bjt0,2018-01-31T03:04:42.040Z,"52km NNW of La Serena, Chile",8.2,29,us,us
2017-11-06T10:38:51.670Z,-30.1255,-72.0148,12.86,4.4,mwr,1.07,us2000bj5r,2018-01-31T03:04:40.040Z,"67km WSW of Coquimbo, Chile",3.4,75,us,us
2017-11-06T07:52:18.320Z,-34.6886,-70.7579,101.12,4.2,mb,0.59,us2000bj4r,2018-01-31T03:04:40.040Z,"26km E of Chimbarongo, Chile",4.8,15,us,us
2017-11-06T00:13:24.860Z,-31.1603,-71.5523,35,3.7,mb,0.73,us2000bj1r,2018-01-31T03:04:40.040Z,"63km NW of Illapel, Chile",2,2,us,us
2017-11-02T21:24:11.500Z,-31.017,-71.5563,56.44,4.2,mb,1.32,us2000bhck,2018-01-24T01:25:06.040Z,"57km SW of Ovalle, Chile",14.4,6,us,us
2017-11-01T22:26:51.550Z,-33.1812,-69.6039,10,4.1,mb,1.09,us2000bf7z,2018-01-24T01:25:04.040Z,"79km WSW of Mendoza, Argentina",1.9,7,us,us
2017-11-01T05:57:43.900Z,-30.7126,-71.5567,42.64,4.2,mb,1.03,us1000aznc,2018-01-24T01:25:03.040Z,"36km WSW of Ovalle, Chile",13.9,5,us,us
2017-10-29T23:17:25.750Z,-27.8909,-66.9081,209.68,4.4,mb,0.94,us1000ayeb,2018-01-24T01:24:58.040Z,"29km SSE of Belen, Argentina",13.2,9,us,us
2017-10-29T22:58:57.750Z,-31.0366,-71.5076,56.69,4.3,mwr,1.03,us1000aye5,2018-01-24T01:24:58.040Z,"56km SSW of Ovalle, Chile",4.6,29,us,us
2017-10-29T16:08:52.420Z,-28.5963,-66.9799,133.01,4.5,mb,0.56,us1000aybq,2018-01-24T01:24:58.040Z,"18km W of Arauco, Argentina",4.8,122,us,us
2017-10-29T15:09:44.150Z,-30.3926,-72.6911,10,4.2,mb,0.51,us1000ayb8,2018-01-24T01:24:58.040Z,"138km WSW of Coquimbo, Chile",2,5,us,us
2017-10-27T20:38:53.100Z,-30.551,-71.938,18.03,4.2,mb,0.92,us1000axtw,2018-01-17T21:50:36.040Z,"70km W of Ovalle, Chile",6.8,8,us,us
2017-10-26T15:34:31.130Z,-38.0961,-73.6219,25.44,4,mb,1.03,us1000ax4l,2018-01-17T21:50:34.040Z,"38km SSW of Canete, Chile",8.2,5,us,us
2017-10-26T03:04:23.570Z,-29.158,-68.0965,41.55,4.3,mb,0.81,us1000ax1k,2018-01-17T21:50:34.040Z,"45km SSE of Vinchina, Argentina",12.8,9,us,us
2017-10-25T08:48:25.880Z,-30.3533,-72.1964,10,4,mwr,0.95,us1000awl2,2018-01-17T21:50:33.040Z,"93km WSW of Coquimbo, Chile",1.9,61,us,us
2017-10-23T03:21:15.310Z,-33.9015,-72.4413,14.46,4.5,mwr,0.55,us1000avta,2018-01-17T21:50:30.040Z,"83km WSW of San Antonio, Chile",2.4,75,us,us
2017-10-23T02:59:55.080Z,-33.9114,-72.472,14.04,4.2,mwr,0.88,us1000avt3,2018-01-17T21:50:30.040Z,"86km WSW of San Antonio, Chile",1.4,64,us,us
2017-10-22T15:41:43.790Z,-41.3465,-72.2642,127.22,4.4,mb,0.65,us1000avpc,2018-01-17T21:50:30.040Z,"58km ENE of Puerto Montt, Chile",5.7,21,us,us
2017-10-22T13:54:54.440Z,-30.3479,-72.2866,8.43,4.3,mwr,0.79,us1000avng,2018-01-17T21:50:29.040Z,"100km WSW of Coquimbo, Chile",5,74,us,us
2017-10-19T09:14:51.170Z,-30.649,-71.3008,49.76,4.4,mb,1.05,us1000au19,2018-01-11T02:22:07.040Z,"11km WSW of Ovalle, Chile",6.9,6,us,us
2017-10-18T20:43:54.930Z,-32.8581,-68.1012,36.36,4.4,mb,0.65,us1000atut,2018-01-11T02:22:06.040Z,"42km NE of San Martin, Argentina",5.3,24,us,us
2017-10-18T20:14:42.890Z,-28.0318,-66.4554,159.84,4.1,mb,0.82,us1000atuc,2018-01-11T02:22:06.040Z,"44km NW of Mutquin, Argentina",3.8,5,us,us
2017-10-17T21:08:11.260Z,-32.1155,-70.26,119.59,4.2,mb,0.95,us1000athc,2018-01-11T02:22:05.040Z,"77km ESE of Salamanca, Chile",7.2,7,us,us
2017-10-17T10:40:41.640Z,-32.563,-71.0804,73.75,4.1,mb,0.47,us1000at8a,2018-01-11T02:22:04.040Z,"18km SE of La Ligua, Chile",5.5,1,us,us
2017-10-16T19:29:34.960Z,-35.3637,-74.1619,6.63,4.9,mww,0.91,us1000asyw,2018-01-11T02:22:03.040Z,"158km W of Constitucion, Chile",3.7,15,us,us
2017-10-16T06:58:10.270Z,-28.797,-67.375,137.95,4.1,mb,1.18,us1000asn5,2018-01-11T02:22:03.040Z,"42km NNE of Chilecito, Argentina",10.8,9,us,us
2017-10-15T10:59:14.750Z,-32.2388,-72.8397,10,4.7,mww,0.99,us1000ash3,2018-01-11T02:22:02.040Z,"144km NW of Valparaiso, Chile",1.9,18,us,us
2017-10-14T21:43:16.640Z,-28.7224,-71.6235,27.68,3.8,mwr,0.6,us1000asbr,2018-01-09T02:15:01.040Z,"86km WSW of Vallenar, Chile",5.5,49,us,us
