time,latitude,longitude,depth,mag,magType,rms,id,updated,place,depthError,magNst,locationSource,magSource
2017-10-14T11:20:50.970Z,-28.6769,-71.4069,40.26,4.3,mb,1.31,us1000aumw,2018-01-09T02:15:00.040Z,"64km W of Vallenar, Chile",9.6,3,us,us
2017-10-13T14:16:03.130Z,-33.0334,-72.2389,19.62,4,mwr,1.3,us1000arex,2018-01-09T02:14:58.040Z,"57km W of Valparaiso, Chile",3.5,63,us,us
2017-10-12T22:28:06.150Z,-31.0863,-71.7927,20.65,4.1,mb,0.88,us1000ar4s,2018-01-09T02:14:57.040Z,"78km SW of Ovalle, Chile",9.5,4,us,us
2017-10-12T18:59:09.030Z,-30.9939,-65.6186,165.65,5.5,mww,1.1,us1000aqwn,2018-01-09T02:14:57.040Z,"45km SSW of Serrezuela, Argentina",4,31,us,us
2017-10-12T06:49:26.100Z,-33.1244,-71.6767,29.66,3.7,mb,0.85,us1000aqlx,2018-01-09T02:14:56.040Z,"10km SSW of Valparaiso, Chile",3.6,5,us,us
2017-10-11T23:01:08.890Z,-31.3086,-69.0982,112.63,4.2,mb,0.84,us1000aqit,2018-01-09T02:14:56.040Z,"29km E of Calingasta, Argentina",5.9,12,us,us
2017-10-10T19:29:31.480Z,-45.8106,-76.1767,10,4.3,mb,0.77,us1000aprz,2018-01-09T02:14:54.040Z,"264km W of Puerto Chacabuco, Chile",1.9,9,us,us
2017-10-10T01:56:24.020Z,-27.7151,-70.2877,76.89,4.4,mb,0.77,us2000b3bt,2018-01-09T02:14:53.040Z,"38km S of Copiapo, Chile",4.5,4,us,us
2017-10-09T22:55:52.600Z,-30.0098,-71.3647,51.33,4.4,mwr,0.93,us2000b39y,2018-01-09T02:14:53.040Z,"6km SSW of Coquimbo, Chile",5.2,45,us,us
2017-10-09T06:13:31.920Z,-27.8254,-70.1908,97.48,4.2,mb,0.94,us2000b2yg,2018-01-09T02:14:52.040Z,"52km SSE of Copiapo, Chile",6.4,7,us,us
2017-10-08T23:10:19.690Z,-34.4264,-71.5931,48.19,4.3,mb,0.64,us2000b2w8,2018-01-09T02:14:52.040Z,"30km NW of Santa Cruz, Chile",7,12,us,us
2017-10-08T00:03:30.250Z,-32.9872,-72.1151,15.64,4,mwr,0.83,us2000b2ni,2018-01-09T02:14:50.040Z,"45km W of Valparaiso, Chile",4.6,59,us,us
2017-10-07T10:37:24.530Z,-32.4919,-71.8786,19.57,4.1,mb,0.87,us2000b2fz,2018-01-03T01:54:49.040Z,"61km W of La Ligua, Chile",6.9,5,us,us
2017-10-07T04:20:15.380Z,-31.3218,-68.7275,114.98,4.2,mb,1.07,us2000b2d5,2018-01-03T01:54:49.040Z,"23km WNW of Albardon, Argentina",6.7,7,us,us
2017-10-06T00:15:13.000Z,-29.883,-71.361,51,3.9,ml,1.02,us2000b1s9,2018-01-03T01:54:47.040Z,"7km NNW of Coquimbo, Chile",7.6,,guc,guc
2017-10-04T08:25:34.770Z,-30.6965,-71.3961,43.08,4.2,mwr,1.14,us2000b0vp,2018-01-03T01:54:45.040Z,"21km WSW of Ovalle, Chile",8.6,36,us,us
2017-10-03T08:27:13.380Z,-33.0188,-72.0079,18.62,4,mwr,0.8,us2000b0fa,2018-01-03T01:54:44.040Z,"35km W of Valparaiso, Chile",6.1,45,us,us
2017-10-01T16:48:05.430Z,-45.7851,-76.167,10,4.5,mwr,1.06,us2000axiu,2018-01-03T01:54:42.040Z,"263km W of Puerto Chacabuco, Chile",1.9,32,us,us
2017-10-01T10:24:37.650Z,-28.3714,-70.8426,60.82,4.2,mb,1,us2000axgg,2018-01-03T01:54:41.040Z,"23km NNW of Vallenar, Chile",7.6,5,us,us
2017-09-29T22:36:29.970Z,-31.7011,-72.2123,39.06,4.1,mb,0.62,us2000awzq,2017-12-22T21:56:29.040Z,"99km W of Illapel, Chile",18.1,4,us,us
2017-09-29T18:08:55.880Z,-29.9418,-71.7054,24.02,4.4,mb,0.76,us2000awu0,2017-12-22T21:56:29.040Z,"34km W of Coquimbo, Chile",7.7,2,us,us
2017-09-28T18:17:12.500Z,-43.2199,-74.4449,19.87,4.4,mwr,0.79,us2000aw18,2017-12-22T21:56:27.040Z,"68km W of Puerto Quellon, Chile",5.8,29,us,us
2017-09-27T09:01:07.870Z,-29.453,-71.3168,38.51,4.2,mb,0.78,us2000av9i,2017-12-22T21:56:24.040Z,"50km N of La Serena, Chile",12.1,5,us,us
2017-09-26T22:06:39.010Z,-31.7794,-72.244,13.58,4.3,mb,0.65,us2000av56,2017-12-22T21:56:23.040Z,"103km W of Illapel, Chile",6.7,7,us,us
2017-09-26T14:07:22.160Z,-28.354,-71.3333,20.76,4.2,mb,0.59,us2000auxj,2017-12-22T21:56:23.040Z,"61km WNW of Vallenar, Chile",9.1,2,us,us
2017-09-26T12:14:46.970Z,-37.4044,-74.1089,12.96,4.8,mwr,0.75,us2000auwv,2017-12-22T21:56:23.040Z,"46km WNW of Lebu, Chile",4.7,45,us,us
2017-09-26T01:04:29.480Z,-38.2506,-68.2731,19.7,4.4,mwr,0.82,us2000avl1,2017-12-22T21:56:22.040Z,"46km ENE of Anelo, Argentina",6.5,20,us,us
2017-09-25T13:55:27.000Z,-32.683,-71.99,24,4.3,mwr,0.93,us2000aub9,2017-12-22T21:56:21.040Z,"52km NW of Valparaiso, Chile",4.7,69,guc,us
2017-09-25T12:24:52.140Z,-28.2921,-71.261,34.26,4.4,mwr,0.87,us2000aua8,2017-12-22T21:56:21.040Z,"58km WNW of Vallenar, Chile",5.1,36,us,us
2017-09-25T07:27:12.770Z,-30.0996,-71.5634,37.49,4.4,mwr,0.96,us2000au5p,2017-12-22T21:56:21.040Z,"26km SW of Coquimbo, Chile",5.4,30,us,us
2017-09-24T07:09:26.570Z,-35.1497,-71.8823,47.5,4.3,mwr,0.6,us2000atv2,2017-12-22T21:56:19.040Z,"37km NNW of Talca, Chile",5.3,45,us,us
2017-09-24T02:30:00.030Z,-27.8783,-71.3184,31.88,4.6,mwr,0.86,us2000atse,2017-12-22T21:56:19.040Z,"94km NW of Vallenar, Chile",4,33,us,us
2017-09-23T23:25:56.820Z,-27.8103,-71.6557,7.18,3.6,mwr,1.19,us2000atqw,2017-12-19T01:54:15.040Z,"121km NW of Vallenar, Chile",5.8,24,us,us
2017-09-23T22:02:01.810Z,-33.7418,-71.5967,46.35,4.9,mwr,0.79,us2000atq4,2017-12-19T01:54:15.040Z,"16km S of San Antonio, Chile",6,,us,guc
2017-09-23T17:25:53.160Z,-30.7504,-68.9583,116.97,5,mww,0.98,us2000atms,2017-12-19T01:54:14.040Z,"60km SSW of San Jose de Jachal, Argentina",4.6,22,us,us
2017-09-23T16:39:44.410Z,-28.7645,-69.2896,128.08,4.6,mb,0.6,us2000atmf,2017-12-19T01:54:14.040Z,"105km W of Vinchina, Argentina",7.2,9,us,us
2017-09-21T07:12:40.190Z,-37.8988,-73.6958,10,4.8,mwr,0.59,us2000asd1,2017-12-19T01:54:09.040Z,"28km WSW of Canete, Chile",1.9,,us,guc
2017-09-19T21:21:53.340Z,-31.7783,-72.2232,10,4,mb,0.48,us2000ar9f,2017-12-19T01:54:06.040Z,"101km W of Illapel, Chile",1.9,2,us,us
2017-09-19T18:14:41.390Z,-37.2315,-74.1697,8.18,4.6,mwr,0.84,us2000ar1y,2017-12-19T01:54:06.040Z,"62km NW of Lebu, Chile",4.6,40,us,us
2017-09-19T17:50:45.420Z,-31.7756,-72.4729,10,4.5,mb,0.85,us2000aqyy,2017-12-19T01:54:06.040Z,"124km W of Illapel, Chile",1.9,8,us,us
2017-09-19T14:27:59.290Z,-31.8219,-72.3453,10,4.2,mwr,0.79,us2000aqqm,2017-12-19T01:54:05.040Z,"113km W of Illapel, Chile",1.9,60,us,us
2017-09-19T10:54:10.820Z,-31.7458,-72.4091,10,3.9,mwr,0.84,us2000aqlv,2017-12-19T01:54:05.040Z,"118km W of Illapel, Chile",2,50,us,us
2017-09-18T20:44:57.690Z,-30.3425,-72.112,17.22,4.4,mb,0.61,us2000aq9e,2017-12-19T01:54:04.040Z,"85km WSW of Coquimbo, Chile",9.5,1,us,us
2017-09-18T15:35:20.570Z,-31.8057,-72.1662,10,4.3,mb,0.45,us2000apyu,2017-12-19T01:54:04.040Z,"96km WSW of Illapel, Chile",1.9,7,us,us
2017-09-18T14:28:56.080Z,-31.8431,-72.2186,10,4.3,mb,0.41,us2000apxj,2017-12-19T01:54:04.040Z,"102km WSW of Illapel, Chile",2,3,us,us
2017-09-18T13:46:57.650Z,-31.8216,-72.1261,17,5.9,mww,1,us2000apwd,2017-12-19T01:54:03.040Z,"93km WSW of Illapel, Chile",1.8,22,us,us
2017-09-18T10:12:23.220Z,-43.1953,-74.4326,14.73,4.2,mb,0.82,us2000apub,2017-12-19T01:54:03.040Z,"66km W of Puerto Quellon, Chile",6.5,5,us,us
2017-09-17T19:33:11.370Z,-31.7388,-70.2379,121.68,3.9,mb,0.63,us2000apkd,2017-12-19T01:54:02.040Z,"69km E of Salamanca, Chile",6.3,7,us,us
2017-09-17T06:36:01.020Z,-35.6698,-71.6422,88.68,4.2,mb,0.81,us2000apfk,2017-12-19T01:54:01.040Z,"12km SE of San Javier, Chile",7.2,10,us,us
2017-09-16T17:12:09.390Z,-37.2262,-74.1985,7.89,4.6,mwr,0.7,us2000ap6b,2017-12-13T02:29:47.040Z,"65km NW of Lebu, Chile",4.7,36,us,us
2017-09-16T00:41:10.090Z,-37.2039,-74.2357,9.72,4.3,mwr,0.52,us2000anwt,2017-12-13T02:29:46.040Z,"69km NW of Lebu, Chile",5.3,58,us,us
2017-09-15T05:26:56.420Z,-42.4999,-82.5248,10,4.6,mb,0.92,us2000an3z,2017-12-13T02:29:44.040Z,West Chile Rise,1.9,19,us,us
2017-09-15T00:07:34.870Z,-31.912,-67.3134,136.67,4.1,mb,1.1,us2000amzk,2017-12-13T02:29:44.040Z,"91km SW of Chepes, Argentina",15.1,9,us,us
2017-09-14T07:04:02.020Z,-34.2919,-72.6963,12.58,4.1,mwr,0.63,us2000am75,2017-12-13T02:29:43.040Z,"118km NNW of Constitucion, Chile",5.9,42,us,us
2017-09-13T14:59:55.070Z,-28.0141,-69.26,118.94,4.5,mb,0.91,us2000alhm,2017-12-13T02:29:42.040Z,"127km SE of Copiapo, Chile",14.8,2,us,us
2017-09-11T11:25:05.150Z,-37.5234,-74.1346,25.58,4.5,mb,0.42,us2000ajzk,2017-12-13T02:29:37.040Z,"44km WNW of Lebu, Chile",9.6,3,us,us
2017-09-09T22:17:51.290Z,-36.1497,-73.6167,25.35,4.3,mb,0.84,us2000aj2p,2017-12-07T20:00:28.040Z,"77km NW of Talcahuano, Chile",8.7,6,us,us
2017-09-06T18:17:00.670Z,-36.6975,-73.9729,10,4.2,mb,0.55,us2000ah1v,2017-12-07T20:00:17.040Z,"76km W of Talcahuano, Chile",2,2,us,us
2017-09-06T12:11:44.290Z,-43.0459,-74.3193,15.68,4.2,mb,0.46,us2000agti,2017-12-07T20:00:16.040Z,"57km W of Puerto Quellon, Chile",6.5,10,us,us
2017-09-06T05:45:36.460Z,-30.7586,-71.5466,48.92,4.2,mwr,1.07,us2000agkl,2017-12-07T20:00:15.040Z,"37km WSW of Ovalle, Chile",4.2,51,us,us
2017-09-05T04:54:52.520Z,-33.0972,-72.2564,16.12,4,mwr,0.54,us2000afwg,2017-12-07T20:00:13.040Z,"59km W of Valparaiso, Chile",3.4,45,us,us
